id	filename	md5	size	state
2cce119f-c4eb-4445-8e0b-9bdcec03b78e	2cce119f-c4eb-4445-8e0b-9bdcec03b78e/nationwidechildrens.org_biospecimen.TCGA-G3-A5SL.xml	993fffd5a4b8872d8225571a51a55a6c	53955	validated
2ddfeba0-1251-428a-972c-f0bbfe4001ca	2ddfeba0-1251-428a-972c-f0bbfe4001ca/nationwidechildrens.org_biospecimen.TCGA-CC-A7IG.xml	612500bbb3a35a05961853a28f137b4c	53955	validated
30475abc-3395-49f5-9b44-b136d0d36d6d	30475abc-3395-49f5-9b44-b136d0d36d6d/nationwidechildrens.org_biospecimen.TCGA-DD-AAVV.xml	6307f6223db4e24222c9b3731ef5b537	41526	validated
33d1469e-ab8f-4815-8ffa-156a77f9da91	33d1469e-ab8f-4815-8ffa-156a77f9da91/nationwidechildrens.org_biospecimen.TCGA-DD-A4NH.xml	992feae951cc0b3faa81fa26d4e31df3	82733	validated
35d805d6-0140-4cea-800f-3e138325f813	35d805d6-0140-4cea-800f-3e138325f813/nationwidechildrens.org_biospecimen.TCGA-DD-AACI.xml	e17b1ad72f2380605457411517b43b8e	41520	validated
3600b8d1-941e-4cd9-8c4f-06effe90fff5	3600b8d1-941e-4cd9-8c4f-06effe90fff5/nationwidechildrens.org_biospecimen.TCGA-DD-A4NB.xml	1a9c8607a229e48fc6739be3548044c1	56858	validated
3c13f76f-537c-4e96-886a-39ca2c8e3d2d	3c13f76f-537c-4e96-886a-39ca2c8e3d2d/nationwidechildrens.org_biospecimen.TCGA-DD-A1E9.xml	fb404b504648383a0513c0554bda8758	56688	validated
3e0fb888-5769-40cc-8680-23364293d5eb	3e0fb888-5769-40cc-8680-23364293d5eb/nationwidechildrens.org_biospecimen.TCGA-DD-A114.xml	3b78a9c0aff78b5020972332965d18c8	98691	validated
3effe55f-7dee-4fd7-9787-78c8791b7807	3effe55f-7dee-4fd7-9787-78c8791b7807/nationwidechildrens.org_biospecimen.TCGA-RC-A7SK.xml	d02aed83aba554307ca74a02b3971fa7	52299	validated
3f7383e2-fb71-4f41-a236-1e6d60c31af8	3f7383e2-fb71-4f41-a236-1e6d60c31af8/nationwidechildrens.org_biospecimen.TCGA-K7-A5RF.xml	28744195bb523cff8baf02d5d17c5d37	75618	validated
41976b58-55e7-4805-a720-9e6f13d49c10	41976b58-55e7-4805-a720-9e6f13d49c10/nationwidechildrens.org_biospecimen.TCGA-DD-A1ED.xml	3f66fcc74eaf05f360d8effeed7d78e0	72482	validated
44c35802-ce55-40ef-b429-a53bac7a5d80	44c35802-ce55-40ef-b429-a53bac7a5d80/nationwidechildrens.org_biospecimen.TCGA-DD-AAED.xml	de173970a6fcedb90f4c4dfb15f961e1	41522	validated
45c6aac9-3216-4192-9687-a8cd1cbdd400	45c6aac9-3216-4192-9687-a8cd1cbdd400/nationwidechildrens.org_biospecimen.TCGA-G3-A25W.xml	d504a06d873b3f405ededce1bc6151fb	67015	validated
45ea7c0d-fc6a-4ee6-9636-c8f0faa3f134	45ea7c0d-fc6a-4ee6-9636-c8f0faa3f134/nationwidechildrens.org_biospecimen.TCGA-DD-AAW2.xml	5714be696c183d12f40919a9be59b8ce	41521	validated
4b4146ad-3669-4eb8-a143-08449b03858d	4b4146ad-3669-4eb8-a143-08449b03858d/nationwidechildrens.org_biospecimen.TCGA-UB-A7MB.xml	488246c6a1e813e759581373eed49b80	53955	validated
4bc27ae0-6d28-48d2-a99f-73e4e87b7c46	4bc27ae0-6d28-48d2-a99f-73e4e87b7c46/nationwidechildrens.org_biospecimen.TCGA-DD-AADI.xml	4217810997da0998319c0371e72c789f	41519	validated
4c38095f-499d-4713-8dfa-28ab73676965	4c38095f-499d-4713-8dfa-28ab73676965/nationwidechildrens.org_biospecimen.TCGA-WX-AA44.xml	0601661f4948de960ab16b121dd23a1d	52261	validated
50561727-ef15-4844-8a3e-9a9e85c52b63	50561727-ef15-4844-8a3e-9a9e85c52b63/nationwidechildrens.org_biospecimen.TCGA-CC-A5UC.xml	d8bececc4139ebf1b4038e2a54dc0d37	53956	validated
52459854-94cf-4c96-9ae8-4243efff3a51	52459854-94cf-4c96-9ae8-4243efff3a51/nationwidechildrens.org_biospecimen.TCGA-BC-A8YO.xml	011bc19e858e880972542be010b4c519	53901	validated
52b7518e-7299-4fbf-87bf-75de9d04a063	52b7518e-7299-4fbf-87bf-75de9d04a063/nationwidechildrens.org_biospecimen.TCGA-FV-A4ZP.xml	0208bcfbdda5dbeeba740a2161121269	61785	validated
536aa558-4da8-468d-9fb0-e2c76dbe5c0e	536aa558-4da8-468d-9fb0-e2c76dbe5c0e/nationwidechildrens.org_biospecimen.TCGA-DD-A3A6.xml	343e5c458d1ff662085474f6f5cd2a88	69907	validated
53c2e4b2-a135-4302-a0bb-218b629d4453	53c2e4b2-a135-4302-a0bb-218b629d4453/nationwidechildrens.org_biospecimen.TCGA-2V-A95S.xml	cc41423284cf3348676d00c15cb6bb52	52154	validated
555785a9-f4c3-48b7-85c6-a92c7232a8d2	555785a9-f4c3-48b7-85c6-a92c7232a8d2/nationwidechildrens.org_biospecimen.TCGA-LG-A6GG.xml	c2beb269861636cdc283bafda57611ca	75614	validated
55c78c76-4b5c-4cf8-bd67-a34fab2dd0ab	55c78c76-4b5c-4cf8-bd67-a34fab2dd0ab/nationwidechildrens.org_biospecimen.TCGA-DD-AAD0.xml	9876586d774158e4291cde86fac80b8a	41521	validated
561483eb-92ab-4d98-878f-9aa147feeaf0	561483eb-92ab-4d98-878f-9aa147feeaf0/nationwidechildrens.org_biospecimen.TCGA-G3-AAV7.xml	b8d62a5639e75738f062d712578f6d7e	52260	validated
58ccd03a-65ed-4119-8331-1584d22e4cd8	58ccd03a-65ed-4119-8331-1584d22e4cd8/nationwidechildrens.org_biospecimen.TCGA-K7-A5RG.xml	d1d4f6d77451911796473ac471c426e3	75616	validated
59cae4c8-c84d-442e-b613-1e61b85b4460	59cae4c8-c84d-442e-b613-1e61b85b4460/nationwidechildrens.org_biospecimen.TCGA-DD-AACF.xml	b70e3e54dca0f6aa958289e790684677	41520	validated
